step,src_node,type,deg,edge,dst_node,type,deg,importance
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,arch_prctl,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,munmap,Memory Address,mem,78,1
201,sh,proc,90,getuid,ID,other,40,0
201,sh,proc,90,getgid,ID,other,40,0
201,sh,proc,90,getpid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,getppid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,getegid,ID,other,40,0
201,sh,proc,90,exec,sed,proc,77,0
201,sh,proc,90,wait4,NO_PID,proc,6,0
201,sh,proc,90,exit_group,status:0,other,7,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,arch_prctl,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,munmap,Memory Address,mem,78,1
201,sed,proc,77,set_tid_address,Memory Address,mem,78,1
201,sed,proc,77,set_robust_list,Memory Address,mem,78,1
201,sed,proc,77,prlimit64,8192*1024 bytes,other,7,0
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,futex,Memory Address,mem,78,1
201,sed,proc,77,open,/etc/rc.local,file,6,1
201,sed,proc,77,fstat,/etc/rc.local,file,6,0
201,sed,proc,77,umask,Permission:0700,other,3,1
201,sed,proc,77,getpid,ID,other,40,0
201,sed,proc,77,umask,Permission:022,other,3,1
201,sed,proc,77,fstat,/etc/rc.local,file,6,0
201,sed,proc,77,read,/etc/rc.local,file,6,0
201,sed,proc,77,read,/etc/rc.local,file,6,0
201,sed,proc,77,exit_group,status:0,other,7,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,arch_prctl,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,munmap,Memory Address,mem,78,1
201,sh,proc,90,getuid,ID,other,40,0
201,sh,proc,90,getgid,ID,other,40,0
201,sh,proc,90,getpid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,getppid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,getegid,ID,other,40,0
201,sh,proc,90,exec,sed,proc,77,0
201,sh,proc,90,wait4,NO_PID,proc,6,0
201,sh,proc,90,exit_group,status:0,other,7,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,arch_prctl,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,munmap,Memory Address,mem,78,1
201,sed,proc,77,set_tid_address,Memory Address,mem,78,1
201,sed,proc,77,set_robust_list,Memory Address,mem,78,1
201,sed,proc,77,prlimit64,8192*1024 bytes,other,7,0
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,futex,Memory Address,mem,78,1
201,sed,proc,77,open,/etc/rc.local,file,6,1
201,sed,proc,77,fstat,/etc/rc.local,file,6,0
201,sed,proc,77,umask,Permission:0700,other,3,1
201,sed,proc,77,getpid,ID,other,40,0
201,sed,proc,77,umask,Permission:022,other,3,1
201,sed,proc,77,fstat,/etc/rc.local,file,6,0
201,sed,proc,77,read,/etc/rc.local,file,6,0
201,sed,proc,77,read,/etc/rc.local,file,6,0
201,sed,proc,77,exit_group,status:0,other,7,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,arch_prctl,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,munmap,Memory Address,mem,78,1
201,sh,proc,90,getuid,ID,other,40,0
201,sh,proc,90,getgid,ID,other,40,0
201,sh,proc,90,getpid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,getppid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,getegid,ID,other,40,0
201,sh,proc,90,exec,sed,proc,77,0
201,sh,proc,90,wait4,NO_PID,proc,6,0
201,sh,proc,90,exit_group,status:2,other,4,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,arch_prctl,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,munmap,Memory Address,mem,78,1
201,sed,proc,77,set_tid_address,Memory Address,mem,78,1
